time	fru	R.i	F.p	ac	for	but	lac
0	49	8.08	6.849567844	0	1	2	1
2	49	8.57	7.345271439	0	0	3	1
3	47	8.66	7.727309801	0	0	4	1
5	46	8.89	8.012028018	0	0	7	1
6	40	9.29	8.496272154	1	0	11	1
7	35	9.39	8.589123712	3	0	17	1
9	30	9.37	8.533881315	5	0	23	1
10	26	9.56	8.697842728	6	1	30	1
11	21	9.67	8.702023112	7	4	34	1
13	16	9.74	8.759738778	8	6	39	1
14	12	9.79	8.718668518	9	11	43	1
15	8	9.90	8.802777871	9	16	47	1
17	4	9.95	8.842970085	9	18	51	1
18	1	10.03	8.832932249	10	20	53	1
24	0	9.72	8.658027726	9	22	54	2
30	0	9.81	8.437026819	9	22	57	2
48	0	9.33	8.152597002	9	22	58	2
