time	fru	biomass	ac	for	but	lac
0	50	6.929513493	1	50	0	0.754884547
2	50.10731202	7.382710246	1	47.38938374	0	0.784487863
3	49.85938425	7.704809469	1	47.27351727	0	0.79928952
5	50.60316755	7.851676169	1	47.70801651	0	0.821492007
6	50.56986382	8.024637759	1	47.5052502	0	0.784487863
7	48.2830077	8.224637759	2	45.15895431	0	0.814091178
9	50.41444642	8.424637759	2	46.36106887	0	0.843694494
10	49.68546477	8.684377816	3	45.94105294	0	0.888099467
11	48.91477623	9.046203238	5	43.86541225	0	0.866665983
13	47.7959471	9.132893313	8	42.06323814	0	1.037994663
14	45.27798704	9.102775026	11	38.90865354	0	1.053839397
15	43.5964586	9.324600483	14	36.85441057	0	1.218338453
17	41.77606076	9.474306046	16	34.97241139	0	1.546848356
18	40.57502225	9.460611766	17	34.05553169	0	2.082295863
24	37.2359121	9.393066001	19	28.05942953	0	4.58848767
25	37.2359121	9.393066001	19	28.05942953	0	4.58848767
26	37.2359121	9.393066001	19	28.05942953	0	4.58848767
27	37.2359121	9.393066001	19	28.05942953	0	4.58848767
30	36.8368694	9.404200083	20	23.78505669	0	5.592020902
32	36.8368694	9.404200083	20	23.78505669	0	5.592020902
34	36.8368694	9.404200083	20	23.78505669	0	5.592020902
36	36.8368694	9.404200083	20	23.78505669	0	5.592020902
38	36.8368694	9.404200083	20	23.78505669	0	5.592020902
40	36.8368694	9.404200083	20	23.78505669	0	5.592020902
42	36.8368694	9.404200083	20	23.78505669	0	5.592020902
44	36.8368694	9.404200083	20	23.78505669	0	5.592020902
46	36.8368694	9.404200083	20	23.78505669	0	5.592020902
48	34.34907889	9.446848303	20	11.15125791	0	6.779924642
