time	fru	biomass	ac	for	but	lac
0	50	8.422510912	50	0	0	0.64
2	48	8.691276627	47.13	0	3.39	0.89
3.33	48	8.880016304	47.06	0	5.55	0.87
4.67	44	9.118356765	45.08	0	8.87	0.64
6	40	9.322788718	43.61	0.17	13.79	0.7
7.33	34	9.465031307	40.75	0.77	19.45	0.72
8.67	28	9.537454365	37.94	1.58	25.91	0.76
10	22	9.647629004	35.1	2.71	32.7	0.78
11.33	15	9.672489293	31.33	3.66	38.33	0.92
12.67	7	9.757758661	30.31	4.74	46.59	1.89
14	0	9.8423462	30	5.61	52.59	3.56
15.33	0	9.766390955	29.1	5.55	52.1	3.48
16.67	0	9.697035332	28.81	5.47	52.59	3.6
18	0	9.634752902	28.65	5.52	52.31	3.81
24	0	9.515619971	28.89	5.63	53.86	4.4
30	0	9.557517244	29.02	5.65	54.27	4.49
48	0	9.155209115	27.95	5.71	56.02	4.57
