,EX_for_e_max_0.0_x_BIOMASS,EX_for_e_min_0.0_x_BIOMASS,EX_for_e_min_0.95_x_BIOMASS,EX_for_e_max_1.0_x_BIOMASS,EX_for_e_min_1.0_x_BIOMASS,EX_but_e_max_0.0_x_BIOMASS,EX_but_e_min_0.0_x_BIOMASS,EX_but_e_max_0.3_x_BIOMASS,EX_but_e_max_0.35_x_BIOMASS,EX_but_e_max_0.55_x_BIOMASS,EX_but_e_max_0.6_x_BIOMASS,EX_but_e_max_0.65_x_BIOMASS,EX_but_e_max_0.7_x_BIOMASS,EX_but_e_max_1.0_x_BIOMASS,EX_but_e_min_1.0_x_BIOMASS
EX_fru_e,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BIOMASS,0.009020818258725468,0.009018484925392135,0.08615503103749488,0.09021484951235215,0.09021484925392133,0.0106727080301522,0.01067191096039223,0.039495100063870296,0.044298930485627754,0.06351437021433377,0.06831823014651027,0.0731220900786868,0.07792595001086329,0.10674910960392232,0.10674910960392232
EX_for_e,0.2272171994852897,0.02272171994852855,0.02272171994852855,0.22721719948528551,0.22674222442741923,0.2272171994852855,0.22721719948526697,0.2272171994852855,0.22721719948526697,0.22721719948526697,0.22721719948526697,0.22721719948526697,0.22721719948526697,0.22721719948526697,0.22721719948526697
EX_but_e,0.9491528836332209,0.9491528836332209,0.9491528836332209,0.9491528836332209,0.9491528836332209,2.1092286302960463,0.21092286302960464,2.1092286302960463,2.0564217163864025,1.8047302703905854,1.7369378767481571,1.649954934548538,1.4979827022064345,0.2110716913825694,0.21092286302960464
