time	fru	R.i	B.h	ac	for	but	lac
0	48	8.25308984	7.624619391	0.593162772	1	2	1
2	47	8.358011183	8.060294612	0.638466956	1	3	1
3	46	8.473342294	8.556193108	0.653744554	1	3	1
5	45	8.583340833	8.731457918	0.856629586	0	4	1
6	37	9.143521853	9.464390582	1.668565455	0	8	2
7	16	9.578211497	9.515135838	4.002328851	0	16	4
9	0	9.66704942	9.677006939	7.248286501	0	23	7
10	0	9.578836218	9.670768644	7.355947967	0	24	7
11	0	9.68213651	9.85054359	7.218453119	0	24	7
13	0	9.546427523	9.840920628	7.897608507	0	26	8
14	0	9.525223687	9.911337738	7.627196936	0	25	8
15	0	9.554533644	9.883048536	7.346925656	0	25	7
17	0	9.677576023	9.936296166	7.338965823	0	25	7
18	0	9.678630116	9.973331318	7.514082144	0	25	8
24	0	9.48627361	10.02143241	7.377693757	0	26	7
30	0	9.177763602	9.869512129	7.298021038	0	26	7
48	0	8.818969039	9.701238331	7.656548272	0	28	8
