time	fru	biomass	ac	for	but	lac
0	50	264551916.6	50	0	0	0.64
2	48	491220663.2	47.13	0	3.39	0.89
3.33	48	758606053.2	47.06	0	5.55	0.87
4.67	44	1313278290	45.08	0	8.87	0.64
6	40	2102755212	43.61	0.17	13.79	0.7
7.33	34	2917637327	40.75	0.77	19.45	0.72
8.67	28	3447103829	37.94	1.58	25.91	0.76
10	22	4442516031	35.1	2.71	32.7	0.78
11.33	15	4704238073	31.33	3.66	38.33	0.92
12.67	7	5724778143	30.31	4.74	46.59	1.89
14	0	6955785798	30	5.61	52.59	3.56
15.33	0	5839705622	29.1	5.55	52.1	3.48
16.67	0	4977775798	28.81	5.47	52.59	3.6
18	0	4312736279	28.65	5.52	52.31	3.81
24	0	3278083188	28.89	5.63	53.86	4.4
30	0	3610083473	29.02	5.65	54.27	4.49
48	0	1429582143	27.95	5.71	56.02	4.57
