time	fru	R.i	B.h	ac	for	but	lac
0	50	8.372089826	7.375372479	50	1.073112076	2.015165747	0.577990316
2	46.09573951	8.470946475	7.988919897	44.59004545	0.974128396	4.473757803	0.60921116
3	41.5839776	9.161140814	8.62554793	43.60950358	0.790373552	9.657345377	0.613288878
5	29.98588656	9.42674544	8.707557539	42.92715088	0.742339247	20.76330877	0.713136834
6	5.704055345	9.792292263	8.893027366	37.86583113	0.076092354	42.93989381	1.889687047
7	0	9.942030495	9.147620033	37.42067428	0	47.58135608	2.487510813
9	0	9.971252952	9.296112178	37.4243738	0	48.10553949	2.504269843
10	0	9.947292349	9.330646782	38.6790817	0	49.86585913	2.722894092
11	0	9.94460858	9.393902769	37.44996552	0	48.70966035	2.792375168
13	0	9.96667223	9.401042451	38.82130273	0	50.35852506	3.000399114
14	0	9.898937909	9.363215299	37.3316276	0	48.26920926	2.876075269
15	0	9.785465707	9.361749006	39.12366305	0	50.67723902	3.029169906
17	0	9.655644045	9.289972838	38.75490855	0	50.74209551	3.005380613
18	0	9.559511222	9.311616646	38.90954753	0	51.54469456	3.029169906
24	0	9.305527681	9.118311515	38.33857282	0	52.39593598	3.068818727
30	0	9.252993982	8.962597726	38.14824791	0	52.76886079	3.068818727
48	0	8.96638461	8.884493902	37.59309597	0	52.13469705	2.945045815
