time	fru	biomass	ac	for	but	lac
0	49	5.782985418	48	1	0	0
2	50	6.751109712	48	1	0	0
3	49	7.158537079	48	0	0	0
5	50	7.479078609	48	0	1	0
6	49	7.576273518	48	0	1	0
7	50	7.694044105	48	0	2	0
9	49	7.899842473	47	0	2	0
10	49	7.770529177	46	0	3	0
11	48	8.289202223	45	1	5	0
13	46	8.476104701	45	4	7	0
14	42	8.627164008	42	6	11	0
15	36	8.867692586	37	11	15	0
17	34	8.954690799	36	16	21	0
18	31	9.015860417	34	18	25	0
19	29	8.98949673	34	20	27	1
24	27	9.01562086	34	22	28	1
30	26	8.884641476	34	22	29	2
48	26	8.631796132	34	22	29	2
