,R9_max_0.0_x_R12,R9_min_0.0_x_R12,R9_min_0.3_x_R12,R9_min_0.4_x_R12,R9_min_0.5_x_R12,R9_max_0.6_x_R12,R9_min_0.6_x_R12,R9_max_0.7_x_R12,R9_max_1.0_x_R12,EX_FOR_max_0.0_x_R12,EX_FOR_min_0.0_x_R12,EX_FOR_max_0.3_x_R12,EX_FOR_max_0.4_x_R12,EX_FOR_max_1.0_x_R12,EX_FOR_min_1.0_x_R12,R10_max_0.0_x_R12,R10_min_0.0_x_R12,R10_max_0.3_x_R12,R10_max_0.4_x_R12,R10_min_0.5_x_R12,R10_min_0.6_x_R12,R10_max_1.0_x_R12,R8_max_0.0_x_R12,R8_min_0.0_x_R12,R8_max_0.4_x_R12,R8_max_0.5_x_R12,R8_max_0.6_x_R12,R8_max_1.0_x_R12,R8_min_1.0_x_R12,R6_max_0.0_x_R12,R6_min_0.0_x_R12,R6_max_0.4_x_R12,R6_min_0.4_x_R12,R6_max_0.5_x_R12,R6_max_0.6_x_R12,R6_max_0.7_x_R12,R6_max_1.0_x_R12,R6_min_1.0_x_R12
R1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R12,0.011239112110143298,0.011239112110143298,0.01694460526129993,0.01694460526129993,0.01960328831321135,0.02127612355382496,0.02127612355382496,0.02294895879443857,0.0279674645162794,0.011239112110143298,0.011239112110143298,0.016257617831984133,0.01793045307259774,0.027967464516279395,0.0279674645162794,0.011239112110143298,0.011239112110143298,0.016257617831984133,0.01793045307259774,0.01960328831321135,0.02127612355382496,0.0279674645162794,0.011239112110143298,0.011239112110143298,0.01793045307259774,0.01960328831321135,0.02127612355382496,0.0279674645162794,0.0279674645162794,0.011239112110143298,0.011239112110143298,0.01793045307259774,0.01694460526129993,0.01960328831321135,0.02127612355382496,0.02294895879443857,0.0279674645162794,0.0279674645162794
R9,0.0,0.0,0.0,0.0,0.019807167552168044,0.8930430932015749,0.1813345673559036,0.8911645629173751,0.8673642995315449,0.0,0.0,0.0,0.07757417349811,0.867364299531545,0.8673642995315451,0.0,0.0,0.0,0.07757417349811,0.019807167552168044,0.1813345673559036,0.867364299531545,0.0,0.0,0.0,0.019807167552166403,0.1813345673559041,0.8673642995315456,0.8673642995315451,0.0,0.0,0.5953620621343838,0.0,0.7442025776679809,0.8930430932015758,0.8911645629173751,0.8673642995315449,0.8673642995315451
EX_FOR,1.0,1.0,1.5076462531241617,1.5076462531241617,0.019807167552168044,1.0,0.2761816924655087,1.1507190458177967,1.6210408558044143,1.0,0.0,1.446521546600788,1.5177878886362737,1.6210408558044145,0.0,1.0,-0.0,1.446521546600788,1.5177878886362737,0.019807167552168044,0.2761816924655087,1.6210408558044145,0.0,1.0,0.0,0.019807167552166403,0.2761816924655097,1.6210408558044143,1.6210408558044145,-0.0,0.4227752578974831,0.5953620621343838,1.5076462531241617,0.7442025776679809,0.9878902183111816,1.1507190458177967,1.6210408558044147,1.6210408558044145
R10,0.9999999999999998,1.0,1.5076462531241617,1.5076462531241617,0.0,0.10695690679842508,0.09484712510960508,0.2595544829004215,0.7536765562728691,1.0,1.0,1.446521546600788,1.440213715138163,0.7536765562728693,0.7536765562728693,1.0,0.0,1.446521546600788,1.440213715138163,0.0,0.09484712510960508,0.7536765562728693,0.0,1.0,0.0,0.0,0.09484712510960557,0.7536765562728684,0.7536765562728693,0.0,1.0,0.0,1.5076462531241617,0.0,0.09484712510960557,0.2595544829004215,0.7536765562728698,0.7536765562728693
R8,0.0,0.0,0.0,0.0,1.7045882425636452,0.0,1.4355268333801632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.7045882425636452,1.4355268333801632,0.0,1.0,0.0,1.5953620621343838,1.7045882425636472,1.4355268333801618,0.0,0.0,1.0,0.0,0.40463793786561625,0.0,0.2557974223320191,0.012109781688818443,0.0,0.0,0.0
R6,0.5772247421025168,0.5772247421025167,0.0,0.0,0.0,0.7099785570329832,0.0,0.5383225625175608,0.0,0.5772247421025165,0.5772247421025167,0.06950251822387994,0.0,0.0,0.0,0.5772247421025165,0.7200818849596596,0.06950251822387994,0.0,0.0,0.0,0.0,0.7200818849596597,0.5772247421025167,0.12817064295019875,0.0,0.0,0.0,0.0,0.7200818849596597,0.5772247421025168,0.7235327050845826,0.0,0.7243954101158134,0.7117085258456719,0.5383225625175608,0.0,0.0
