,R9_max_0.0_x_R12,R9_min_0.0_x_R12,R9_max_0.1_x_R12,R9_min_0.1_x_R12,R9_max_0.2_x_R12,R9_min_0.2_x_R12,R9_max_0.3_x_R12,R9_min_0.3_x_R12,R9_max_0.4_x_R12,R9_min_0.4_x_R12,R9_max_0.5_x_R12,R9_min_0.5_x_R12,R9_max_0.6_x_R12,R9_min_0.6_x_R12,R9_max_0.7_x_R12,R9_min_0.7_x_R12,R9_max_0.8_x_R12,R9_min_0.8_x_R12,R9_max_0.9_x_R12,R9_min_0.9_x_R12,R9_max_1.0_x_R12,R9_min_1.0_x_R12,EX_FOR_max_0.0_x_R12,EX_FOR_min_0.0_x_R12,EX_FOR_max_0.1_x_R12,EX_FOR_min_0.1_x_R12,EX_FOR_max_0.2_x_R12,EX_FOR_min_0.2_x_R12,EX_FOR_max_0.3_x_R12,EX_FOR_min_0.3_x_R12,EX_FOR_max_0.4_x_R12,EX_FOR_min_0.4_x_R12,EX_FOR_max_0.5_x_R12,EX_FOR_min_0.5_x_R12,EX_FOR_max_0.6_x_R12,EX_FOR_min_0.6_x_R12,EX_FOR_max_0.7_x_R12,EX_FOR_min_0.7_x_R12,EX_FOR_max_0.8_x_R12,EX_FOR_min_0.8_x_R12,EX_FOR_max_0.9_x_R12,EX_FOR_min_0.9_x_R12,EX_FOR_max_1.0_x_R12,EX_FOR_min_1.0_x_R12,R10_max_0.0_x_R12,R10_min_0.0_x_R12,R10_max_0.1_x_R12,R10_min_0.1_x_R12,R10_max_0.2_x_R12,R10_min_0.2_x_R12,R10_max_0.3_x_R12,R10_min_0.3_x_R12,R10_max_0.4_x_R12,R10_min_0.4_x_R12,R10_max_0.5_x_R12,R10_min_0.5_x_R12,R10_max_0.6_x_R12,R10_min_0.6_x_R12,R10_max_0.7_x_R12,R10_min_0.7_x_R12,R10_max_0.8_x_R12,R10_min_0.8_x_R12,R10_max_0.9_x_R12,R10_min_0.9_x_R12,R10_max_1.0_x_R12,R10_min_1.0_x_R12,R8_max_0.0_x_R12,R8_min_0.0_x_R12,R8_max_0.1_x_R12,R8_min_0.1_x_R12,R8_max_0.2_x_R12,R8_min_0.2_x_R12,R8_max_0.3_x_R12,R8_min_0.3_x_R12,R8_max_0.4_x_R12,R8_min_0.4_x_R12,R8_max_0.5_x_R12,R8_min_0.5_x_R12,R8_max_0.6_x_R12,R8_min_0.6_x_R12,R8_max_0.7_x_R12,R8_min_0.7_x_R12,R8_max_0.8_x_R12,R8_min_0.8_x_R12,R8_max_0.9_x_R12,R8_min_0.9_x_R12,R8_max_1.0_x_R12,R8_min_1.0_x_R12,R6_max_0.0_x_R12,R6_min_0.0_x_R12,R6_max_0.1_x_R12,R6_min_0.1_x_R12,R6_max_0.2_x_R12,R6_min_0.2_x_R12,R6_max_0.3_x_R12,R6_min_0.3_x_R12,R6_max_0.4_x_R12,R6_min_0.4_x_R12,R6_max_0.5_x_R12,R6_min_0.5_x_R12,R6_max_0.6_x_R12,R6_min_0.6_x_R12,R6_max_0.7_x_R12,R6_min_0.7_x_R12,R6_max_0.8_x_R12,R6_min_0.8_x_R12,R6_max_0.9_x_R12,R6_min_0.9_x_R12,R6_max_1.0_x_R12,R6_min_1.0_x_R12
R1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R12,0.011239112110143298,0.011239112110143298,0.012911947350756908,0.012911947350756908,0.014584782591370518,0.014584782591370518,0.01625761783198413,0.01694460526129993,0.01793045307259774,0.01694460526129993,0.01960328831321135,0.01960328831321135,0.02127612355382496,0.02127612355382496,0.02294895879443857,0.02294895879443857,0.02462179403505218,0.02462179403505218,0.02629462927566579,0.02629462927566579,0.0279674645162794,0.0279674645162794,0.011239112110143298,0.011239112110143298,0.012911947350756908,0.012911947350756908,0.014584782591370518,0.014584782591370518,0.01625761783198413,0.01694460526129993,0.01793045307259774,0.01694460526129993,0.01960328831321135,0.01960328831321135,0.02127612355382496,0.02127612355382496,0.02294895879443857,0.02294895879443857,0.02462179403505218,0.02462179403505218,0.02629462927566579,0.02629462927566579,0.027967464516279395,0.0279674645162794,0.011239112110143298,0.011239112110143298,0.012911947350756908,0.012911947350756908,0.014584782591370518,0.014584782591370518,0.01625761783198413,0.01625761783198413,0.01793045307259774,0.01793045307259774,0.01960328831321135,0.01960328831321135,0.02127612355382496,0.02127612355382496,0.02294895879443857,0.02294895879443857,0.02462179403505218,0.02462179403505218,0.02629462927566579,0.02629462927566579,0.0279674645162794,0.0279674645162794,0.011239112110143298,0.011239112110143298,0.012911947350756908,0.012911947350756908,0.014584782591370518,0.014584782591370518,0.01625761783198413,0.01694460526129993,0.01793045307259774,0.01694460526129993,0.01960328831321135,0.01960328831321135,0.02127612355382496,0.02127612355382496,0.02294895879443857,0.02294895879443857,0.02462179403505218,0.02462179403505218,0.02629462927566579,0.02629462927566579,0.0279674645162794,0.0279674645162794,0.011239112110143298,0.011239112110143298,0.012911947350756908,0.012911947350756908,0.014584782591370518,0.014584782591370518,0.01625761783198413,0.01694460526129993,0.01793045307259774,0.01694460526129993,0.01960328831321135,0.01960328831321135,0.02127612355382496,0.02127612355382496,0.02294895879443857,0.02294895879443857,0.02462179403505218,0.02462179403505218,0.02629462927566579,0.02629462927566579,0.0279674645162794,0.0279674645162794
R9,0.0,0.0,0.14884051553359584,0.0,0.29768103106719257,0.0,0.44652154660078625,0.0,0.5953620621343838,0.0,0.7442025776679786,0.019807167552168044,0.8930430932015749,0.1813345673559036,0.8911645629173751,0.3528420003998146,0.8832311417887653,0.5243494334437249,0.875297720660155,0.695856866487635,0.8673642995315449,0.8673642995315456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07757417349811,0.0,0.20920586117034928,0.20920586117034973,0.3408375488425877,0.3408375488425882,0.47246923651482753,0.4724692365148267,0.6041009241870668,0.604100924187067,0.7357326118593057,0.7357326118593055,0.867364299531545,0.8673642995315451,0.0,0.0,0.0,0.14884051553359576,0.0,0.29768103106719196,0.0,0.0,0.07757417349811,0.0,0.20920586117034928,0.019807167552168044,0.3408375488425877,0.1813345673559036,0.47246923651482753,0.3528420003998146,0.6041009241870668,0.5243494334437249,0.7357326118593057,0.695856866487635,0.867364299531545,0.8673642995315456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019807167552166403,0.20920586117034973,0.18133456735590414,0.3408375488425882,0.3528420003998143,0.4724692365148267,0.5243494334437248,0.604100924187067,0.6958568664876352,0.7357326118593055,0.8673642995315456,0.8673642995315451,0.0,0.0,0.14884051553359648,0.0,0.2976810310671915,0.0,0.4465215466007869,0.0,0.5953620621343838,0.0,0.7442025776679809,0.20920586117034962,0.893043093201576,0.3408375488425881,0.8911645629173751,0.4724692365148268,0.8832311417887653,0.6041009241870671,0.875297720660155,0.7357326118593055,0.8673642995315449,0.8673642995315451
EX_FOR,1.0,1.0,1.0,1.148840515533596,1.0,1.297681031067192,1.0,1.5076462531241617,1.0,1.5076462531241617,1.0,0.019807167552168044,1.0,0.27618169246550867,1.1507190458177967,0.6123964833002364,1.3074929824800026,0.9486112741349626,1.4642669191422086,1.2848260649696888,1.621040855804414,1.6210408558044154,1.0,0.0,1.1488405155335961,0.0,1.2976810310671918,0.0,1.446521546600788,0.0,1.5177878886362735,0.0,1.5349967164976301,0.0,1.5522055443589868,0.0,1.569414372220344,0.0,1.5866232000817007,0.0,1.6038320279430571,0.0,1.6210408558044143,0.0,1.0,-0.0,1.1488405155335961,0.14884051553359576,1.2976810310671918,0.29768103106719196,1.446521546600788,-0.0,1.5177878886362735,-0.0,1.5349967164976301,0.019807167552168044,1.5522055443589868,0.27618169246550867,1.569414372220344,0.6123964833002364,1.5866232000817007,0.9486112741349626,1.6038320279430571,1.2848260649696888,1.6210408558044143,1.6210408558044154,0.0,1.0,0.0,1.148840515533596,0.0,1.297681031067192,0.0,1.5076462531241617,0.0,1.5076462531241617,0.019807167552166403,1.5349967164976304,0.2761816924655097,1.552205544358987,0.6123964833002358,1.5694143722203435,0.9486112741349624,1.5866232000817007,1.2848260649696892,1.6038320279430573,1.621040855804414,1.6210408558044145,-0.0,0.4227752578974831,0.14884051553359648,0.7408565147239581,0.2976810310671915,1.0589377715504331,0.4465215466007869,1.5076462531241617,0.5953620621343838,1.5076462531241617,0.7442025776679809,1.5349967164976304,0.9878902183111815,1.552205544358987,1.1507190458177967,1.5694143722203435,1.3074929824800026,1.5866232000817007,1.4642669191422086,1.6038320279430573,1.6210408558044147,1.6210408558044145
R10,0.9999999999999998,1.0,0.8511594844664042,1.148840515533596,0.7023189689328074,1.297681031067192,0.5534784533992138,1.5076462531241617,0.40463793786561625,1.5076462531241617,0.25579742233202135,0.0,0.10695690679842507,0.09484712510960508,0.2595544829004215,0.2595544829004218,0.4242618406912375,0.42426184069123773,0.5889691984820538,0.5889691984820536,0.7536765562728691,0.7536765562728698,1.0,1.0,1.1488405155335961,1.148840515533596,1.2976810310671918,1.297681031067192,1.446521546600788,1.5076462531241617,1.4402137151381633,1.5076462531241617,1.325790855327281,1.3257908553272806,1.2113679955163992,1.2113679955163987,1.0969451357055164,1.0969451357055169,0.9825222758946339,0.9825222758946337,0.8680994160837514,0.8680994160837517,0.7536765562728693,0.7536765562728693,1.0,0.0,1.1488405155335961,0.0,1.2976810310671918,0.0,1.446521546600788,0.0,1.4402137151381633,0.0,1.325790855327281,0.0,1.2113679955163992,0.09484712510960508,1.0969451357055164,0.2595544829004218,0.9825222758946339,0.42426184069123773,0.8680994160837514,0.5889691984820536,0.7536765562728693,0.7536765562728698,0.0,1.0,0.0,1.148840515533596,0.0,1.297681031067192,0.0,1.5076462531241617,0.0,1.5076462531241617,0.0,1.3257908553272806,0.09484712510960555,1.2113679955163987,0.2595544829004215,1.0969451357055169,0.4242618406912376,0.9825222758946337,0.5889691984820539,0.8680994160837517,0.7536765562728684,0.7536765562728693,0.0,1.0,0.0,1.148840515533596,0.0,1.297681031067192,0.0,1.5076462531241617,0.0,1.5076462531241617,0.0,1.3257908553272806,0.09484712510960555,1.211367995516399,0.2595544829004215,1.0969451357055169,0.4242618406912376,0.9825222758946335,0.5889691984820539,0.8680994160837517,0.7536765562728698,0.7536765562728693
R8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7045882425636452,0.0,1.4355268333801632,0.0,1.076645125035121,0.0,0.7177634166900804,0.0,0.35888170834503985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8511594844664042,0.0,0.7023189689328081,0.0,1.4465215466007886,0.0,1.5953620621343836,0.0,1.7045882425636452,0.0,1.4355268333801632,0.0,1.076645125035121,0.0,0.7177634166900804,0.0,0.35888170834503985,0.0,0.0,1.0,0.0,1.1488405155335966,0.0,1.2976810310671922,0.0,1.4465215466007884,0.0,1.5953620621343838,0.0,1.7045882425636472,0.0,1.435526833380162,0.0,1.0766451250351217,0.0,0.7177634166900807,0.0,0.3588817083450392,0.0,0.0,0.0,1.0,0.0,0.8511594844664035,0.0,0.7023189689328084,0.0,0.5534784533992131,0.0,0.40463793786561625,0.0,0.2557974223320191,0.0,0.012109781688818443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R6,0.5772247421025168,0.5772247421025167,0.599350377924261,0.40798400080963787,0.6214760137460058,0.2387432595167587,0.6436016495677496,0.0,0.6657272853894944,0.0,0.6878529212112386,0.0,0.7099785570329832,0.0,0.5383225625175608,0.0,0.35888170834504046,0.0,0.1794408541725197,0.0,0.0,0.0,0.5772247421025165,0.5772247421025167,0.4079840008096375,0.40798400080963787,0.2387432595167586,0.2387432595167587,0.06950251822387994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5772247421025165,0.7200818849596596,0.4079840008096375,0.7209445899908904,0.2387432595167586,0.7218072950221212,0.06950251822387994,0.2761484534525634,0.0,0.1281706429501991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7200818849596597,0.5772247421025167,0.5721040744572935,0.40798400080963787,0.4241262639549287,0.2387432595167587,0.27614845345256356,0.0,0.12817064295019875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7200818849596597,0.5772247421025168,0.72094458999089,0.40798400080963787,0.7218072950221209,0.2387432595167587,0.7226700000533519,0.0,0.7235327050845826,0.0,0.7243954101158134,0.0,0.7117085258456719,0.0,0.5383225625175608,0.0,0.35888170834504035,0.0,0.1794408541725196,0.0,0.0,0.0
