,R.i,F.p,B.h,ac,for,but,lac
RI_8,1.4102320313816095,0.0,0.0,-0.42312725538810203,0.12544189169120792,1.0874550698142547,0.09803009151543354
RI_14,1.3583526472320029,0.0,0.0,-0.3958114832191123,0.11422603778472235,1.0607966958914994,0.06929837740384616
RI_15,1.549705377468034,0.0,0.0,-0.4832329723476182,0.15205951120583208,1.1781794890744206,0.052101345763476414
RI_16,2.3289904650137205,0.0,0.0,-0.16890592980353897,0.16447379934583917,1.1778770859139571,0.008254905088530868
FP_4,0.0,0.4593613406558238,0.0,-0.6035909145176453,0.9333741934688231,1.2394833616314216,0.06072817848841892
FP_14,0.0,0.7636307230081876,0.0,-0.6697985840822664,0.9477440070391769,1.2032360387773424,0.03486176351551604
FP_15,0.0,0.5866453308249365,0.0,-0.7511930640278692,0.9849284726755951,1.3359347251918414,0.0378553279672081
BH_14,0.0,0.0,2.3400153526414718,1.3803771117909034,-1.731124442393086,0.0,0.28127706707984734
BH_15,0.0,0.0,1.486687113003386,1.2904590649983594,-2.1422297261660543,0.0,0.29951797220197485
BH_16,0.0,0.0,1.2553651369296497,1.2934905112732031,-1.4693002855341495,0.0,0.2787194811606167
RI_FP_8,2.176998783141936,0.1413510191618613,0.0,-0.3482739517355544,0.18981600891428888,1.0951920288197388,0.027119458085312194
RI_FP_9,1.1696131942594137,0.013393210005343754,0.0,-0.4486866956098448,0.11883152601042986,1.0889982383997763,0.1291191126828484
RI_BH_4,2.0091729375955376,0.0,0.5492418697382926,-0.17663138171471626,-0.02360118294825578,1.028439915318605,0.0495029335071708
RI_BH_6,2.5646558338140784,0.0,1.1957932680520167,-0.21528108447275085,0.0,1.065500095802914,0.037219975108898566
RI_BH_5,1.5308708443978762,0.0,2.1412828573213916,0.8198209933979101,-0.022269238593033588,0.5420323277630276,0.07054436413962784
RI_BH_7,0.9685986197245947,0.0,2.131042783065819,0.8997596945785631,-0.021205715211979802,0.46892383676048044,0.13262383900928787
FP_BH_1,0.0,0.5450865978609759,1.9290326882928948,0.5646592650182531,-0.017663391893542827,0.6004963761161766,0.0900677888643461
FP_BH_2,0.0,0.7391599787407489,2.2923420465279216,0.8720949217626647,-0.02493158632306073,0.5444223264259898,0.04195985482556847
FP_BH_3,0.0,0.8255781044863443,1.8121203172818667,1.197974131547324,-0.023442482105926626,0.4846312451678862,0.07266136023327291
RI_FP_BH_10,1.3108304301577391,0.061961446747618,1.0206851187966848,0.6356275097427136,-0.023820973294570155,0.6633044807938553,0.12632646691635457
RI_FP_BH_11,1.0614234571953054,0.23283273215021671,1.366167795967647,0.47894360899165295,-0.02389264459980956,0.6491347992743915,0.1727711206571709
RI_FP_BH_12,0.09074164215164733,0.5581242230900039,2.236069502478786,1.0476763209388529,-0.023848039506698962,0.4602500533524713,0.11547267355982271
RI_FP_BH_13,0.019740174273073126,0.7300885121814806,1.6090703015752603,1.1385600271087255,-0.09019163692664392,0.4374873453223165,0.07089460960253399
RI_FP_BH_14,0.00027799470043146033,0.288530618254409,1.778276080982625,0.9081887941441636,-0.056769104469075286,0.33303458771812283,0.18567572431167895
RI_FP_BH_15,0.017152979520259574,0.608181304182795,1.9873756435627472,1.144785110172648,-0.039689699943680434,0.4417118230540034,0.07117944641972711
