,EX_ac_e_max_0.0_x_BIOMASS_Ec_iML1515_core_75p37M,EX_ac_e_min_0.0_x_BIOMASS_Ec_iML1515_core_75p37M,EX_ac_e_max_0.7_x_BIOMASS_Ec_iML1515_core_75p37M,EX_ac_e_min_0.7_x_BIOMASS_Ec_iML1515_core_75p37M,EX_ac_e_max_0.8_x_BIOMASS_Ec_iML1515_core_75p37M,EX_ac_e_min_0.8_x_BIOMASS_Ec_iML1515_core_75p37M,EX_ac_e_min_0.9_x_BIOMASS_Ec_iML1515_core_75p37M,EX_ac_e_max_1.0_x_BIOMASS_Ec_iML1515_core_75p37M,EX_ac_e_min_1.0_x_BIOMASS_Ec_iML1515_core_75p37M,EX_for_e_max_0.0_x_BIOMASS_Ec_iML1515_core_75p37M,EX_for_e_min_0.0_x_BIOMASS_Ec_iML1515_core_75p37M,EX_for_e_max_0.7_x_BIOMASS_Ec_iML1515_core_75p37M,EX_for_e_min_0.7_x_BIOMASS_Ec_iML1515_core_75p37M,EX_for_e_max_0.8_x_BIOMASS_Ec_iML1515_core_75p37M,EX_for_e_min_0.8_x_BIOMASS_Ec_iML1515_core_75p37M,EX_for_e_max_1.0_x_BIOMASS_Ec_iML1515_core_75p37M,EX_etoh_e_max_0.0_x_BIOMASS_Ec_iML1515_core_75p37M,EX_etoh_e_min_0.0_x_BIOMASS_Ec_iML1515_core_75p37M,EX_etoh_e_max_0.7_x_BIOMASS_Ec_iML1515_core_75p37M,EX_etoh_e_min_0.7_x_BIOMASS_Ec_iML1515_core_75p37M,EX_etoh_e_max_0.8_x_BIOMASS_Ec_iML1515_core_75p37M,EX_etoh_e_min_0.8_x_BIOMASS_Ec_iML1515_core_75p37M,EX_etoh_e_max_1.0_x_BIOMASS_Ec_iML1515_core_75p37M,EX_etoh_e_min_1.0_x_BIOMASS_Ec_iML1515_core_75p37M,EX_lac__D_e_max_0.0_x_BIOMASS_Ec_iML1515_core_75p37M,EX_lac__D_e_min_0.0_x_BIOMASS_Ec_iML1515_core_75p37M,EX_lac__D_e_max_0.7_x_BIOMASS_Ec_iML1515_core_75p37M,EX_lac__D_e_max_0.8_x_BIOMASS_Ec_iML1515_core_75p37M,EX_lac__D_e_max_1.0_x_BIOMASS_Ec_iML1515_core_75p37M,EX_lac__D_e_min_1.0_x_BIOMASS_Ec_iML1515_core_75p37M,EX_succ_e_max_0.0_x_BIOMASS_Ec_iML1515_core_75p37M,EX_succ_e_min_0.0_x_BIOMASS_Ec_iML1515_core_75p37M,EX_succ_e_max_0.3_x_BIOMASS_Ec_iML1515_core_75p37M,EX_succ_e_max_0.4_x_BIOMASS_Ec_iML1515_core_75p37M,EX_succ_e_max_0.7_x_BIOMASS_Ec_iML1515_core_75p37M,EX_succ_e_max_0.8_x_BIOMASS_Ec_iML1515_core_75p37M,EX_succ_e_max_1.0_x_BIOMASS_Ec_iML1515_core_75p37M
EX_glc__D_e,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BIOMASS_Ec_iML1515_core_75p37M,0.0,0.0,0.011027787185631702,0.011027787185631702,0.01260318535500766,0.01260318535500766,0.014178583524383618,0.015753981693759574,0.015753981693759574,0.0,0.0,0.011027787185631702,0.011027787185631702,0.01260318535500766,0.01260318535500766,0.015753981693759574,0.0,0.0,0.011027787185631702,0.011027787185631702,0.01260318535500766,0.01260318535500766,0.015753981693759574,0.015753981693759574,0.0,0.0,0.011027787185631702,0.01260318535500766,0.015753981693759574,0.015753981693759574,0.0,0.0,0.004726194508127872,0.00630159267750383,0.011027787185631702,0.01260318535500766,0.015753981693759574
EX_ac_e,2.5256,0.0,1.876610614253087,0.0,1.6320692492454878,0.1551733855200821,0.5030700587100516,0.8830899801709993,0.883086561556887,1.4744,-0.0,1.7950018576221396,0.0,1.6320692492455027,0.18086924924556974,0.8830865615569252,0.0,1.333333333333333,0.0,0.18215661821569135,0.15517338552007054,0.18086641352884772,0.8830865615569004,0.883086498540996,0.0,1.0,0.0,0.18086924924556316,0.8830865615569093,0.8830865615569248,0.22458536585365776,1.0,0.5471618919731502,0.647219822600382,0.8753846895506742,0.9064691988327876,0.8830865615569156
EX_for_e,1.8976,-0.0,3.5153578505089556,0.24275081047398833,3.309417470991685,0.5098009258938003,1.2305260416304402,1.8227791170793708,1.8227718387397256,6.1024,0.0,3.841792877032738,0.0,3.3094174709917135,0.40701747099184826,1.8227718387397343,0.0,1.333333333333333,0.0,0.22773339295855055,0.5098009258937759,0.4070121524475933,1.8227718387397327,1.8227686721894554,0.0,2.0,0.0,0.40701747099183444,1.822771838739703,1.8227718387397343,-0.0,2.0,-0.0,0.06123414024997834,0.8354097454374818,1.1326149377516859,1.8227718387398948
EX_etoh_e,0.0,-0.0,0.0,0.14436397499280584,0.1740605043894004,0.3025398230168227,0.6688573008938802,0.8745724954442888,0.8745756304867178,0.0,-0.0,0.0,0.0,0.17406050438938667,0.17406050438938306,0.874575630486689,2.0,0.0,1.8369667179202174,0.0,1.6252605043893324,0.174057996355479,0.8745756304865993,0.8745724954443771,0.0,1.0,0.0,0.17406050438937565,0.8745756304866728,0.8745756304866891,0.0,1.0,0.0,0.0,0.0,0.1740579963556353,0.874575630486864
EX_lac__D_e,0.0,2.0,0.0,1.592527504963536,0.0,1.322720681372496,0.5810607665441477,0.0,0.0,0.0,2.0,0.0,1.811239662924487,0.0,1.4511999999999363,0.0,0.0,0.0,0.0,1.5601074881205137,0.0,1.4512055706079,0.0,0.0,2.0,0.0,1.8369667179202167,1.451199999999951,3.339550858072471e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_succ_e,-0.0,-0.0,0.0036793550277629088,0.003679355027762786,0.004204977174586175,0.00420497717458617,0.004730599321409463,0.005256221468232713,0.005256221468232756,-0.0,-0.0,0.0036793550277629088,0.011535042384557567,0.00420497717458617,0.004204977174586169,0.005256221468232713,-0.0,-0.0,0.0036793550277628975,0.0036793550277629088,0.004204977174586169,0.00420497717458617,0.005256221468232802,0.005259703098141546,-0.0,-0.0,0.00367935502776305,0.004204977174586191,0.005256221468232713,0.005256221468232743,1.585951219512196,0.0,1.3433089571884893,1.2579476562330272,0.9586583984077894,0.7298077624783784,0.005256221468056329
