,R9_max_0.0_x_R12,R9_max_0.4_x_R12,R9_min_0.4_x_R12,R9_max_0.8_x_R12,R9_max_0.9_x_R12,R9_min_0.9_x_R12,R9_max_1.0_x_R12,R9_min_1.0_x_R12,EX_FOR_max_0.0_x_R12,EX_FOR_min_0.4_x_R12,EX_FOR_max_0.8_x_R12,EX_FOR_max_0.9_x_R12,EX_FOR_min_0.9_x_R12,EX_FOR_max_1.0_x_R12,EX_FOR_min_1.0_x_R12,R10_max_0.2_x_R12,R10_max_0.4_x_R12,R10_min_0.4_x_R12,R10_max_0.8_x_R12,R10_max_0.9_x_R12,R10_min_0.9_x_R12,R10_max_1.0_x_R12,R10_min_1.0_x_R12,R8_max_0.4_x_R12,R8_min_0.4_x_R12,R8_max_0.8_x_R12,R8_max_0.9_x_R12,R8_min_0.9_x_R12,R8_max_1.0_x_R12,R8_min_1.0_x_R12,R6_max_0.0_x_R12,R6_min_0.4_x_R12,R6_max_0.5_x_R12,R6_max_0.8_x_R12,R6_max_0.9_x_R12,R6_min_0.9_x_R12,R6_max_1.0_x_R12,R6_min_1.0_x_R12
R1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R12,0.02123911211014329,0.021340731453570568,0.01694460526129993,0.021340731453570568,0.021340731453570568,0.01694460526129993,0.021340731453570568,0.017967464516279397,0.02123911211014329,0.01694460526129993,0.02796746451627939,0.02796746451627939,0.01694460526129993,0.027967464516279395,0.017967464516279397,0.01694460526129993,0.01694460526129993,0.019379375499624527,0.01694460526129993,0.016944605261299928,0.019379375499624527,0.017967464516279397,0.020312817387771683,0.019379375499624527,0.01694460526129993,0.019379375499624527,0.019379375499624527,0.01694460526129993,0.019379375499624527,0.017967464516279397,0.0112401121101433,0.01694460526129993,0.019604288313211347,0.020312817387771683,0.020312817387771683,0.01694460526129993,0.020312817387771683,0.017967464516279397
R9,0.8897500000000004,0.8987915810814415,0.0,0.8987915810814416,0.8987915810814415,0.0,0.8987915810814415,0.0,0.3379252005869307,0.0,0.867364299531545,0.8673642995315449,0.0,0.867364299531545,0.08048652175376741,0.0,0.0,0.0,0.0,0.0,0.0,0.08048652175376741,0.08257160268129184,0.0,0.0,0.0,0.0,0.0,0.0,0.08048652175376741,8.897500000095703e-05,0.0,0.7442915526679794,0.8073329270769856,0.8073329270769857,0.0,0.8073329270769858,0.08048652175376753
EX_FOR,1.0,1.0,1.5076462531241617,1.0,1.0,1.5076462531241617,1.0,0.8742764595520525,1.5518247994130685,0.0,1.6210408558044145,1.6210408558044145,0.0,1.6210408558044145,0.0,1.5076462531241612,1.5076462531241617,-0.0,1.5076462531241617,1.5076462531241612,-0.0,1.5181686335821918,0.08257160268129184,-0.0,1.5076462531241617,-0.0,-0.0,1.5076462531241617,-0.0,1.5181686335821918,8.897500000095703e-05,1.5076462531241617,0.7442915526679794,0.8073329270769856,0.8073329270769857,1.5076462531241617,0.8073329270769858,1.5181686335821918
R10,0.11024999999999968,0.10120841891855853,1.5076462531241617,0.10120841891855836,0.10120841891855847,1.5076462531241617,0.10120841891855843,0.8742764595520525,1.2138995988261376,1.5076462531241617,0.7536765562728692,0.7536765562728692,1.5076462531241617,0.7536765562728693,1.4376821118284246,1.5076462531241612,1.5076462531241617,0.0,1.5076462531241617,1.5076462531241612,0.0,1.4376821118284246,0.0,0.0,1.5076462531241617,0.0,0.0,1.5076462531241617,0.0,1.4376821118284246,0.0,1.5076462531241617,0.0,0.0,0.0,1.5076462531241617,0.0,1.4376821118284246
R8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7243786957839069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7242799350790918,0.0,0.0,1.7242799350790918,0.0,1.642189721714402,1.7242799350790918,0.0,1.7242799350790918,1.7242799350790918,0.0,1.7242799350790918,0.0,0.9999110249999992,0.0,0.2557084473320206,0.1926670729230144,0.19266707292301435,0.0,0.19266707292301424,0.0
R6,0.7094890278168025,0.7108330888041187,0.0,0.7108330888041189,0.7108330888041187,0.0,0.7108330888041188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7200824006739452,0.0,0.7243959258300994,0.7247613243956937,0.7247613243956937,0.0,0.7247613243956939,0.0
