,EX_ac_e_max_0.0_x_BIOMASS_Ecoli_core_w_GAM,EX_ac_e_min_0.0_x_BIOMASS_Ecoli_core_w_GAM,EX_ac_e_max_0.7_x_BIOMASS_Ecoli_core_w_GAM,EX_ac_e_max_0.8_x_BIOMASS_Ecoli_core_w_GAM,EX_ac_e_max_0.9_x_BIOMASS_Ecoli_core_w_GAM,EX_ac_e_max_1.0_x_BIOMASS_Ecoli_core_w_GAM,EX_ac_e_min_1.0_x_BIOMASS_Ecoli_core_w_GAM,EX_for_e_max_0.0_x_BIOMASS_Ecoli_core_w_GAM,EX_for_e_min_0.0_x_BIOMASS_Ecoli_core_w_GAM,EX_for_e_max_0.7_x_BIOMASS_Ecoli_core_w_GAM,EX_for_e_max_0.8_x_BIOMASS_Ecoli_core_w_GAM,EX_for_e_max_0.9_x_BIOMASS_Ecoli_core_w_GAM,EX_for_e_max_1.0_x_BIOMASS_Ecoli_core_w_GAM,EX_for_e_min_1.0_x_BIOMASS_Ecoli_core_w_GAM,EX_etoh_e_max_0.0_x_BIOMASS_Ecoli_core_w_GAM,EX_etoh_e_min_0.0_x_BIOMASS_Ecoli_core_w_GAM,EX_etoh_e_max_0.2_x_BIOMASS_Ecoli_core_w_GAM,EX_etoh_e_max_0.3_x_BIOMASS_Ecoli_core_w_GAM,EX_etoh_e_max_0.4_x_BIOMASS_Ecoli_core_w_GAM,EX_etoh_e_max_1.0_x_BIOMASS_Ecoli_core_w_GAM,EX_etoh_e_min_1.0_x_BIOMASS_Ecoli_core_w_GAM,EX_lac__D_e_max_0.0_x_BIOMASS_Ecoli_core_w_GAM,EX_lac__D_e_min_0.0_x_BIOMASS_Ecoli_core_w_GAM,EX_lac__D_e_max_0.1_x_BIOMASS_Ecoli_core_w_GAM,EX_lac__D_e_max_0.2_x_BIOMASS_Ecoli_core_w_GAM,EX_lac__D_e_max_0.3_x_BIOMASS_Ecoli_core_w_GAM,EX_lac__D_e_max_1.0_x_BIOMASS_Ecoli_core_w_GAM,EX_lac__D_e_min_1.0_x_BIOMASS_Ecoli_core_w_GAM,EX_succ_e_max_0.0_x_BIOMASS_Ecoli_core_w_GAM,EX_succ_e_min_0.0_x_BIOMASS_Ecoli_core_w_GAM,EX_succ_e_max_0.2_x_BIOMASS_Ecoli_core_w_GAM,EX_succ_e_max_0.3_x_BIOMASS_Ecoli_core_w_GAM,EX_succ_e_max_0.4_x_BIOMASS_Ecoli_core_w_GAM,EX_succ_e_max_0.7_x_BIOMASS_Ecoli_core_w_GAM,EX_succ_e_max_0.8_x_BIOMASS_Ecoli_core_w_GAM,EX_succ_e_max_1.0_x_BIOMASS_Ecoli_core_w_GAM,EX_succ_e_min_1.0_x_BIOMASS_Ecoli_core_w_GAM
EX_glc__D_e,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BIOMASS_Ecoli_core_w_GAM,0.0,0.0,0.0611734218876489,0.0699127205574744,0.0786519356271587,0.087391150696843,0.0873911504627384,0.0,0.0,0.0611728884881471,0.0699127205574744,0.0786519356271587,0.087391150696843,0.087391150696843,0.0,0.0,0.0174771765779461,0.0262166452090529,0.0349558602787372,0.087391150696843,0.087391150696843,0.0,0.0,0.0087376547047376,0.0174774301393686,0.0262166452090529,0.087391150696843,0.087391150696843,0.0,0.0,0.0174774301393686,0.0262166452090529,0.0349558602787372,0.0611735054877901,0.0699127205574744,0.087391150696843,0.087391150696843
EX_ac_e,2.0,0.0,1.0702557474405665,0.756476836362203,0.3813991928333351,4.3637277779140506e-05,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_for_e,2.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,4.0,-0.0,2.4357908894915297,1.9060815428078228,1.132343646800864,0.0001309118333352,-0.0,-0.0,2.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
EX_etoh_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.734373131780085,1.5462527069546574,1.328618886161291,2.533777419344574e-05,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_lac__D_e,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.867200754970045,1.7111192466907426,1.5016120459687503,2.454596874965631e-05,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_succ_e,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.6384166666666669,0.0,1.3185911282684375,1.1577483518350622,0.9958849847789498,0.5005374942884553,0.3348679383170737,1.9157829268579007e-05,0.0
