,EX_ac_e_max_0.0_x_BIOMASS_Ecoli_core_w_GAM,EX_ac_e_min_0.0_x_BIOMASS_Ecoli_core_w_GAM,EX_ac_e_max_0.7_x_BIOMASS_Ecoli_core_w_GAM,EX_ac_e_max_0.8_x_BIOMASS_Ecoli_core_w_GAM,EX_ac_e_max_0.9_x_BIOMASS_Ecoli_core_w_GAM,EX_ac_e_max_1.0_x_BIOMASS_Ecoli_core_w_GAM,EX_ac_e_min_1.0_x_BIOMASS_Ecoli_core_w_GAM,EX_for_e_max_0.0_x_BIOMASS_Ecoli_core_w_GAM,EX_for_e_min_0.0_x_BIOMASS_Ecoli_core_w_GAM,EX_for_e_max_0.7_x_BIOMASS_Ecoli_core_w_GAM,EX_for_e_max_0.8_x_BIOMASS_Ecoli_core_w_GAM,EX_for_e_max_0.9_x_BIOMASS_Ecoli_core_w_GAM,EX_for_e_max_1.0_x_BIOMASS_Ecoli_core_w_GAM,EX_for_e_min_1.0_x_BIOMASS_Ecoli_core_w_GAM,EX_etoh_e_max_0.0_x_BIOMASS_Ecoli_core_w_GAM,EX_etoh_e_min_0.0_x_BIOMASS_Ecoli_core_w_GAM,EX_etoh_e_max_0.2_x_BIOMASS_Ecoli_core_w_GAM,EX_etoh_e_max_0.3_x_BIOMASS_Ecoli_core_w_GAM,EX_etoh_e_max_0.4_x_BIOMASS_Ecoli_core_w_GAM,EX_etoh_e_max_1.0_x_BIOMASS_Ecoli_core_w_GAM,EX_etoh_e_min_1.0_x_BIOMASS_Ecoli_core_w_GAM,EX_lac__D_e_max_0.0_x_BIOMASS_Ecoli_core_w_GAM,EX_lac__D_e_min_0.0_x_BIOMASS_Ecoli_core_w_GAM,EX_lac__D_e_max_0.1_x_BIOMASS_Ecoli_core_w_GAM,EX_lac__D_e_max_0.2_x_BIOMASS_Ecoli_core_w_GAM,EX_lac__D_e_max_0.3_x_BIOMASS_Ecoli_core_w_GAM,EX_lac__D_e_max_1.0_x_BIOMASS_Ecoli_core_w_GAM,EX_lac__D_e_min_1.0_x_BIOMASS_Ecoli_core_w_GAM,EX_succ_e_max_0.0_x_BIOMASS_Ecoli_core_w_GAM,EX_succ_e_min_0.0_x_BIOMASS_Ecoli_core_w_GAM,EX_succ_e_max_0.2_x_BIOMASS_Ecoli_core_w_GAM,EX_succ_e_max_0.3_x_BIOMASS_Ecoli_core_w_GAM,EX_succ_e_max_0.4_x_BIOMASS_Ecoli_core_w_GAM,EX_succ_e_max_0.7_x_BIOMASS_Ecoli_core_w_GAM,EX_succ_e_max_0.8_x_BIOMASS_Ecoli_core_w_GAM,EX_succ_e_max_1.0_x_BIOMASS_Ecoli_core_w_GAM,EX_succ_e_min_1.0_x_BIOMASS_Ecoli_core_w_GAM
EX_glc__D_e,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BIOMASS_Ecoli_core_w_GAM,0.0,0.0,0.0611745054877901,0.0699137205574744,0.07865293562715871,0.087392150696843,0.08739215069684303,0.0,0.0,0.0611745054877901,0.0699137205574744,0.07865293562715871,0.087392150696843,0.087392150696843,0.0,0.0,0.0174784301393686,0.026217645209052905,0.0349568602787372,0.087392150696843,0.087392150696843,0.0,0.0,0.0087392150696843,0.0174784301393686,0.026217645209052905,0.087392150696843,0.087392150696843,0.0,0.0,0.0174784301393686,0.026217645209052905,0.0349568602787372,0.0611745054877901,0.0699137205574744,0.087392150696843,0.087392150696843
EX_ac_e,2.0,0.0,1.0702392783438217,0.7564395943580356,0.3813555555555565,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_for_e,-0.0,0.0,0.046664800211168964,-0.0,-0.0,-0.0,0.0,4.0,-0.0,2.43574954232556,1.9059968898518225,1.1322324024008623,-0.0,-0.0,0.0,-0.0,0.06585522907911283,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
EX_etoh_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.7343540795268062,1.5462285499789818,1.328593548387098,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_lac__D_e,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.8671770397634035,1.711095725424953,1.5015875,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_succ_e,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.6384166666666669,0.0,1.3185728289226044,1.1577299050297434,0.9958660911107142,0.5005186006202199,0.3348487804878051,-0.0,0.0
