,R9_max_0.0_x_R12,R9_min_0.0_x_R12,R9_max_0.1_x_R12,R9_min_0.1_x_R12,R9_max_0.2_x_R12,R9_min_0.2_x_R12,R9_max_0.3_x_R12,R9_min_0.3_x_R12,R9_max_0.4_x_R12,R9_min_0.4_x_R12,R9_max_0.5_x_R12,R9_min_0.5_x_R12,R9_max_0.6_x_R12,R9_min_0.6_x_R12,R9_max_0.7_x_R12,R9_min_0.7_x_R12,R9_max_0.8_x_R12,R9_min_0.8_x_R12,R9_max_0.9_x_R12,R9_min_0.9_x_R12,R9_max_1.0_x_R12,R9_min_1.0_x_R12
R11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R12,0.0011339112110143,0.0011339112110143,0.0013011947350756,0.0013011947350756,0.001468478259137,0.001468478259137,0.0016357617831984,0.0016357617831984,0.0018030453072597,0.0017830453072597,0.0019703288313211,0.0019503288313211,0.0033031148725772,0.0021176123553824,0.0022848958794438,0.0022848958794438,0.0024521794035052,0.0024521794035052,0.0026194629275665,0.0026194629275665,0.0027867464516279,0.0027867464516279
EX_GLU,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1547798340353806,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
EX_SUC,0.0578547384959659,0.0567107742102516,0.0600673020781404,0.0397867000809637,0.0622798656603148,0.0228626259516758,0.0644924292424893,0.005938551822388,0.0667049928246637,-0.0,0.0689175564068381,-0.0,0.1100226275119584,-0.0,0.054904931251756,-0.0,0.036960845834504,-0.0,0.0190167604172519,-0.0,0.001072675,-0.0
EX_FOR,0.1,0.10088975,0.1,0.1157738015533596,0.1,0.1306578531067192,0.1,0.1455419046600788,0.1,0.0959116000651389,0.1,0.0010961238980737,0.1547798340353806,0.0256083192465509,0.1141347295817796,0.0592297983300236,0.1298121232480003,0.0928512774134962,0.1454895169142208,0.1264727564969689,0.1611669105804414,0.1600942355804414
EX_ACT,0.0008897499999999,-0.0,0.0157738015533596,-0.0,0.0306578531067191,-0.0,0.0455419046600787,-0.0,0.0604259562134384,-0.0,0.0753100077667979,0.0010961238980737,0.1391148117521828,0.0171082067355904,0.0891638812917375,0.0342589500399814,0.0883705391788765,0.0514096933443724,0.0875771970660155,0.0685604366487635,0.0867838549531545,0.0857111799531545
EX_LAC,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0627348561482994,-0.0,0.1713382599706504,-0.0,0.1456980333380162,-0.0,0.1098098625035121,-0.0,0.073921691669008,-0.0,0.0380335208345039,-0.0,0.00214535
EX_ETH,0.09911025,0.10088975,0.0842261984466403,0.1157738015533596,0.0693421468932808,0.1306578531067192,0.0544580953399212,0.1455419046600788,0.0395740437865616,0.0959116000651389,0.024689992233202,-0.0,0.0156650222831977,0.0085001125109605,0.0249708482900421,0.0249708482900421,0.0414415840691237,0.0414415840691237,0.0579123198482053,0.0579123198482053,0.0743830556272869,0.0743830556272869
EX_B,0.0011339112110143,0.0011339112110143,0.0013011947350756,0.0013011947350756,0.001468478259137,0.001468478259137,0.0016357617831984,0.0016357617831984,0.0018030453072597,0.0017830453072597,0.0019703288313211,0.0019503288313211,0.0033031148725772,0.0021176123553824,0.0022848958794438,0.0022848958794438,0.0024521794035052,0.0024521794035052,0.0026194629275665,0.0026194629275665,0.0027867464516279,0.0027867464516279
EX_CO2,-0.0578547384959659,-0.0567107742102516,-0.0600673020781404,-0.0397867000809637,-0.0622798656603148,-0.0228626259516758,-0.0644924292424893,-0.005938551822388,-0.0667049928246637,-0.0,-0.0689175564068381,-0.0,-0.1100226275119584,-0.0,-0.054904931251756,-0.0,-0.036960845834504,-0.0,-0.0190167604172519,-0.0,-0.001072675,-0.0
EX_H2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
